"","Gene.Symbol","Ensembl.id","Ensembl.id.version","Entrez.GeneId","Name","Tier","Genome.Location","Hallmark","Chr.Band","Somatic","Germline","Tumour.Types.Somatic.","Tumour.Types.Germline.","Cancer.Syndrome","Tissue.Type","Molecular.Genetics","Role.in.Cancer","Mutation.Types","Translocation.Partner","Other.Germline.Mut","Other.Syndrome","COSMIC.ID","cosmic.gene.name","Synonyms"
"390","MAML2","ENSG00000184384.13","ENSG00000184384",84441,"mastermind-like 2 (Drosophila)",1,"11:95976598-96343180","",21,"yes","","salivary gland mucoepidermoid","","","E","Dom","oncogene, fusion","T","CRTC3, CRTC1","","","COSG273594","MAML2","84441,ENSG00000184384.13,KIAA1819,MAM3,MAML2,Q8IZL2"
"391","MAP2K1","ENSG00000169032.9","ENSG00000169032",5604,"mitogen-activated protein kinase kinase 1",1,"15:66386817-66492312","Yes",22.31,"yes","","NSCLC, melanoma, colorectal","","","E","Dom","oncogene","Mis","","yes  ","Cardiofaciocutaneous syndrome","COSG299101","MAP2K1","5604,ENSG00000169032.9,MAP2K1,MAPKK1,MEK1,PRKMK1,Q02750"
"392","MAP2K2","ENSG00000126934.13","ENSG00000126934",5605,"mitogen-activated protein kinase kinase 2",1,"19:4090321-4124129","Yes",13.3,"yes","","NSCLC, melanoma","","","E","Dom","oncogene","Mis","","yes  ","Cardiofaciocutaneous syndrome","COSG238218","MAP2K2","5605,ENSG00000126934.13,MAP2K2,MEK2,P36507,PRKMK2"
"393","MAP2K4","ENSG00000065559.14","ENSG00000065559",6416,"mitogen-activated protein kinase kinase 4",1,"17:12020834-12143830","Yes",12,"yes","","pancreatic, breast, colorectal","","","E","Rec","oncogene, TSG","D, Mis, N","","","","COSG348312","MAP2K4","6416,ENSG00000065559.14,JNKK1,MAP2K4,MEK4,MKK4,P45985,PRKMK4,SERK1"
"394","MAP3K1","ENSG00000095015.5","ENSG00000095015",4214,"mitogen-activated protein kinase kinase kinase 1, E3 ubiquitin protein ligase",1,"5:56815574-56896152","Yes",11.2,"yes","","luminal A breast","","","E","Rec","oncogene, TSG","N, F, Mis, O, S","","yes  ","46,XY sex reversal 6","COSG324697","MAP3K1","4214,ENSG00000095015.5,MAP3K1,MAPKKK1,MEKK,MEKK1,Q13233"
"395","MAP3K13","ENSG00000073803.13","ENSG00000073803",9175,"mitogen-activated protein kinase kinase kinase 13",1,"3:185363120-185489097","Yes",27.2,"yes","","breast","","","E","Rec","oncogene, TSG","F","","","","COSG356530","MAP3K13","9175,ENSG00000073803.13,LZK,MAP3K13,MEKK13,O43283"
"396","MAPK1","ENSG00000100030.14","ENSG00000100030",5594,"mitogen-activated protein kinase 1 ",1,"22:21754500-21867629","Yes",11.22,"yes","","CLL, ovarian mixed germ cell tumour, cervical carcinoma","","","E, L","Dom","oncogene","Mis","","","","COSG289883","MAPK1","5594,ENSG00000100030.14,ERK,ERK2,MAPK1,MAPK2,P28482,PRKM1,PRKM2,p41mapk"
"397","MAX","ENSG00000125952.18","ENSG00000125952",4149,"Myc associated factor X",1,"14:65075544-65102470","Yes",23.3,"yes","yes","pheochromocytoma, endometrioid carcinoma, colon carcinoma","pheochromocytoma","","E, O","Rec","TSG","Mis, N, F","","","","COSG209776","MAX","4149,ENSG00000125952.18,MAX,P61244,bHLHd4,bHLHd5,bHLHd6,bHLHd7,bHLHd8"
"398","MB21D2","ENSG00000180611.6","ENSG00000180611",151963,"Mab-21 domain containing 2",2,"3:192796815-192918161","",29,"yes","","lung cancer","","","E","","","Mis","","","","COSG293570","MB21D2","151963,C3orf59,ENSG00000180611.6,MB21D2,Q8IYB1"
"399","MDM2","ENSG00000135679.23","ENSG00000135679",4193,"Mdm2 p53 binding protein homolog",1,"12:68808176-68850686","",15,"yes","","sarcoma, glioma, colorectal, other tumour types","","","M, O, E, L","Dom","oncogene","A","","","","COSG248953","MDM2","4193,ENSG00000135679.23,HDM2,MDM2,MGC5370,Q00987"
"400","MDM4","ENSG00000198625.12","ENSG00000198625",4194,"Mdm4 p53 binding protein homolog",1,"1:204516383-204558120","",32.1,"yes","","glioblastoma, bladder, retinoblastoma","","","M","Dom","oncogene","A","","","","COSG284011","MDM4","4194,ENSG00000198625.12,HDMX,MDM4,MDMX,O15151"
"401","MDS2",NA,NA,NA,"myelodysplastic syndrome 2",2,"1:23581495-23640568","",36.12,"yes","","MDS","","","L","Dom","fusion","T","ETV6","","","COSG353594","MDS2",""
"402","MECOM","ENSG00000085276.17","ENSG00000085276",2122,"MDS1 and EVI1 complex locus",1,"3:169083499-169146305","",26.2,"yes","","AML, CML, MDS","","","L","Dom","oncogene, fusion","T","RUNX1, ETV6, PRDM16, RPN1","","","COSG329335","MECOM","2122,ENSG00000085276.17,EVI1,KMT8E,MDS1,MDS1-EVI1,MECOM,PRDM3,Q03112"
"403","MED12","ENSG00000184634.15","ENSG00000184634",9968,"mediator complex subunit 12",1,"X:71118723-71142447","Yes",13.1,"yes","","uterine leiomyoma, fibroadenoma, phyllodes tumour","","","M, E","Dom","TSG","Mis, S, O","","yes  ","Opitz-Kaveggia Syndrome","COSG306322","MED12","9968,CAGH45,ENSG00000184634.15,FGS1,HOPA,KIAA0192,MED12,OKS,OPA1,Q93074,TNRC11,TRAP230"
"404","MEN1","ENSG00000133895.14","ENSG00000133895",4221,"multiple endocrine neoplasia type 1 gene",1,"11:64803524-64811294","Yes",13.1,"yes","yes","parathyroid tumours, pancreatic neuroendocrine tumour","parathyroid adenoma, pituitary adenoma, pancreatic islet cell, carcinoid","multiple endocrine neoplasia type 1","E","Rec","TSG","D, Mis, N, F, S","","","","COSG381358","MEN1","4221,ENSG00000133895.14,MEN1,O00255"
"405","MET","ENSG00000105976.14","ENSG00000105976",4233,"met proto-oncogene (hepatocyte growth factor receptor)",1,"7:116672405-116796342","Yes",31.2,"yes","","papillary renal, head-neck squamous cell","papillary renal","familial papillary renal cancer","E","Dom","oncogene","Mis","","","","COSG242559","MET","4233,DFNB97,ENSG00000105976.14,HGFR,MET,P08581,RCCP2"
"406","MGMT","ENSG00000170430.9","ENSG00000170430",4255,"O-6-methylguanine-DNA methyltransferase",2,"10:129467184-129768007","",26.3,"yes","","glioma","","","O","","TSG","D","","","","COSG321457","MGMT","4255,ENSG00000170430.9,MGMT,P16455"
"407","MITF","ENSG00000187098.15","ENSG00000187098",4286,"melanogenesis-associated transcription factor",1,"3:69739435-69968336","",13,"yes","","melanoma","","","E","Dom","oncogene","A","","yes  ","Waardenburg syndrome type 2, Tietz syndrome","COSG308133","MITF","4286,ENSG00000187098.15,MI,MITF,O75030,WS2,WS2A,bHLHe32"
"408","MLF1","ENSG00000178053.17","ENSG00000178053",4291,"myeloid leukemia factor 1",1,"3:158582835-158606459","",25.32,"yes","","AML","","","L","Dom","TSG, fusion","T","NPM1","","","COSG364434","MLF1","4291,ENSG00000178053.17,MLF1,P58340"
"409","MLH1","ENSG00000076242.14","ENSG00000076242",4292,"E.coli MutL homolog gene",1,"3:36993332-37050918","Yes",22.2,"yes","yes","colorectal, endometrial, ovarian, CNS tumours","colorectal, endometrial, ovarian, CNS","hereditary non-polyposis colorectal cancer, Turcot syndrome","E, O","Rec","TSG","D, Mis, N, F, S","","","","COSG267808","MLH1","4292,COCA2,ENSG00000076242.14,FCC2,HNPCC,HNPCC2,MLH1,P40692"
"410","MLLT1","ENSG00000130382.8","ENSG00000130382",4298,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 1 (ENL)",1,"19:6210379-6279948","",13.3,"yes","","AL","","","L","Dom","fusion","T","KMT2A","","","COSG288701","MLLT1","4298,ENL,ENSG00000130382.8,LTG19,MLLT1,Q03111,YEATS1"
"411","MLLT10","ENSG00000078403.16","ENSG00000078403",8028,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10 (AF10)",1,"10:21534343-21743630","Yes",12.31,"yes","","AL","","","L","Dom","oncogene, fusion","T","KMT2A, PICALM, CDK6","","","COSG209805","MLLT10","8028,AF10,ENSG00000078403.16,MLLT10,P55197"
"412","MLLT11","ENSG00000213190.3","ENSG00000213190",10962,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 11",1,"1:151057758-151068497","",21.3,"yes","","ALL","","","L","Dom","fusion","T","KMT2A","","","COSG198679","MLLT11","10962,AF1Q,ENSG00000213190.3,MLLT11,Q13015"
"413","MLLT3","ENSG00000171843.15","ENSG00000171843",4300,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3 (AF9)",1,"9:20341665-20622543","",21.3,"yes","","ALL","","","L","Dom","fusion","T","KMT2A","","","COSG390959","MLLT3","4300,AF-9,AF9,ENSG00000171843.15,MLLT3,P42568,YEATS3"
"414","MLLT6","ENSG00000275023.4","ENSG00000275023",4302,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6 (AF17)",1,"17:38705542-38729803","",12,"yes","","AL","","","L","Dom","fusion","T","KMT2A","","","COSG395514","MLLT6","4302,AF17,ENSG00000275023.4,FLJ23480,MLLT6,P55198"
"415","MN1","ENSG00000169184.5","ENSG00000169184",4330,"MN1 proto-oncogene, transcriptional regulator",1,"22:27748277-27801498","",12.1,"yes","","AML, MDS","","","L","Dom","oncogene, fusion","T","ETV6","","","COSG313319","MN1","4330,ENSG00000169184.5,MGCR,MGCR1,MGCR1-PEN,MN1,Q10571"
"416","MNX1","ENSG00000130675.14","ENSG00000130675",3110,"motor neuron and pancreas homeobox 1",2,"7:157004853-157010651","",36.3,"yes","","AML","","","L","Dom","fusion","T","ETV6","yes  ","Currarino syndrome","COSG258878","MNX1","3110,ENSG00000130675.14,HB9,HLXB9,HOXHB9,MNX1,P50219,SCRA1"
"417","MPL","ENSG00000117400.17","ENSG00000117400",4352,"myeloproliferative leukaemia virus oncogene, thrombopoietin receptor",1,"1:43337849-43352772","Yes",34.2,"yes","yes","MPN","MPN","familial essential thrombocythemia","L","Dom","oncogene","Mis","","yes  ","Congenital amegakaryocytic thrombocytopenia","COSG254854","MPL","4352,CD110,ENSG00000117400.17,MPL,P40238,TPOR"
"418","MRTFA","ENSG00000196588.15","ENSG00000196588",57591,"megakaryoblastic leukemia (translocation) 1",1,"22:40411390-40533635","",13.2,"yes","","acute megakaryocytic leukaemia","","","L","Dom","oncogene, TSG, fusion","T","RBM15","","","COSG313903","MRTFA","57591,BSAC,ENSG00000196588.15,KIAA1438,MAL,MKL,MKL1,MRTF-A,MRTFA"
"419","MSH2","ENSG00000095002.14","ENSG00000095002",4436,"mutS homolog 2 (E. coli)",1,"2:47402969-47483228","Yes",21,"yes","yes","colorectal, endometrial, ovarian","colorectal, endometrial, ovarian","hereditary non-polyposis colorectal cancer","E","Rec","TSG","D, Mis, N, F, S","","","","COSG266472","MSH2","4436,COCA1,ENSG00000095002.14,HNPCC,HNPCC1,MSH2,P43246"
"420","MSH6","ENSG00000116062.14","ENSG00000116062",2956,"mutS homolog 6 (E. coli)",1,"2:47783082-47810101","Yes",16.3,"yes","yes","colorectal","colorectal, endometrial, ovarian","hereditary non-polyposis colorectal cancer","E","Rec","TSG","Mis, N, F, S","","","","COSG280189","MSH6","2956,ENSG00000116062.14,GTBP,MSH6,P52701"
"421","MSI2","ENSG00000153944.10","ENSG00000153944",124540,"musashi homolog 2 (Drosophila)",1,"17:57256534-57684685","",22,"yes","","CML","","","L","Dom","oncogene, fusion","T","HOXA9","","","COSG374933","MSI2","124540,ENSG00000153944.10,MSI2,Q96DH6"
"422","MSN","ENSG00000147065.16","ENSG00000147065",4478,"moesin",1,"X:65667670-65741931","",12,"yes","","ALCL","","","L","Dom","fusion","T","ALK","","","COSG381874","MSN","4478,ENSG00000147065.16,MSN,P26038"
"423","MTCP1","ENSG00000214827.9","ENSG00000214827",4515,"mature T-cell proliferation 1",1,"X:155064034-155071226","",28,"yes","","T cell prolymphocytic leukaemia","","","L","Dom","oncogene, fusion","T","TRA","","","COSG270251","MTCP1","4515,ENSG00000214827.9,MTCP1,P13MTCP1,P56278,p8MTCP1"
"424","MTOR","ENSG00000198793.12","ENSG00000198793",2475,"mechanistic target of rapamycin ",1,"1:11106535-11262507","Yes",36.22,"yes","","endometrial carcinoma, head and neck, clear cell renal cell carcinoma, anaplastic thyroid cancer, urothelial cell carcinoma, central nervous system tumours, testicular germ cell tumours and other tumour types","","","E","Dom","oncogene","Mis, N","","yes  ","Smith-Kingsmore syndrome, brain overgrowth phenotypes such as focal cortical dysplasia and megalencephaly,","COSG375698","MTOR","2475,ENSG00000198793.12,FLJ44809,FRAP,FRAP1,FRAP2,MTOR,P42345,RAFT1,RAPT1"
"425","MUC1","ENSG00000185499.16","ENSG00000185499",4582,"mucin 1, transmembrane",1,"1:155185826-155192915","",22,"yes","","B-NHL","","","L","Dom","fusion","T","IGH","","","COSG390253","MUC1","4582,ADMCKD,ADMCKD1,CD227,ENSG00000185499.16,MCD,MCKD,MCKD1,MUC1,PEM,PUM"
"426","MUC16","ENSG00000181143.15","ENSG00000181143",94025,"mucin 16, cell surface associated",2,"19:8848844-8981342","",13.2,"yes","","HNSCC, melanoma","","","E","","oncogene","Mis","","","","COSG216930","MUC16","94025,CA125,ENSG00000181143.15,FLJ14303,MUC16,Q8WXI7"
"427","MUC4","ENSG00000145113.21","ENSG00000145113",4585,"mucin 4, cell surface associated",2,"3:195746765-195812277","",29,"yes","","HNSCC","","","E","","oncogene","Mis, O","","","","COSG239041","MUC4","4585,ENSG00000145113.21,MUC4"
"428","MUTYH","ENSG00000132781.17","ENSG00000132781",4595,"mutY homolog (E. coli)",1,"1:45329242-45340388","",34.1,"","yes","","colorectal","adenomatous polyposis coli","E","Rec","TSG","Mis","","","","COSG261583","MUTYH","4595,ENSG00000132781.17,MUTYH,MYH,Q9UIF7"
"429","MYB","ENSG00000118513.18","ENSG00000118513",4602,"v-myb myeloblastosis viral oncogene homolog",1,"6:135181315-135219167","",23.3,"yes","","adenoid cystic carcinoma","","","E","Dom","oncogene, fusion","T","NFIB","","","COSG303929","MYB","4602,ENSG00000118513.18,MYB,P10242,c-myb"
"430","MYC","ENSG00000136997.17","ENSG00000136997",4609,"v-myc myelocytomatosis viral oncogene homolog (avian)",1,"8:127736069-127741434","Yes",24.21,"yes","","Burkitt lymphoma, amplified in other cancers, B-CLL","","","L, E","Dom","oncogene, fusion","A, T","IGK, BCL5, BCL7A , BTG1, TRA, IGH","","","COSG359910","MYC","4609,ENSG00000136997.17,MYC,MYCC,bHLHe39,c-Myc"
"431","MYCL","ENSG00000116990.10","ENSG00000116990",4610,"v-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog",1,"1:39895426-39902013","",34.2,"yes","","small cell lung carcinoma","","","E","Dom","oncogene","A","","","","COSG268645","MYCL","4610,ENSG00000116990.10,LMYC,MYCL,MYCL1,P12524,bHLHe38"
"432","MYCN","ENSG00000134323.11","ENSG00000134323",4613,"v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)",1,"2:15940564-15947007","",24.3,"yes","","neuroblastoma, Wilms tumour","","","O","Dom","oncogene","A, Mis","","yes  ","Feingold syndrome 1","COSG239756","MYCN","4613,ENSG00000134323.11,MYCN,MYCNOT,N-myc,NMYC,P04198,bHLHe37"
"433","MYD88","ENSG00000172936.12","ENSG00000172936",4615,"myeloid differentiation primary response gene (88)",1,"3:38138478-38143019","Yes",22.2,"yes","","ABC-DLBCL","","","L","Dom","oncogene","Mis","","","","COSG240242","MYD88","4615,ENSG00000172936.12,MYD88"
"434","MYH11","ENSG00000133392.17","ENSG00000133392",4629,"myosin, heavy polypeptide 11, smooth muscle",1,"16:15703172-15857011","",13.11,"yes","","AML","","","L","Dom","fusion","T","CBFB","","","COSG289353","MYH11","4629,ENSG00000133392.17,MYH11,P35749,SMHC,SMMHC"
"435","MYH9","ENSG00000100345.21","ENSG00000100345",4627,"myosin, heavy polypeptide 9, non-muscle",1,"22:36281277-36388067","",12.3,"yes","","ALCL","","","L","Dom","TSG, fusion","T","ALK","yes  ","Deafness, autosomal dominant 17, Epstein syndrome, Fechtner syndrome, May-Hegglin anomaly, Sebastian syndrome","COSG259963","MYH9","4627,DFNA17,ENSG00000100345.21,EPSTS,FTNS,MHA,MYH9,NMHC-II-A,NMMHCA,P35579"
"436","MYO5A","ENSG00000197535.14","ENSG00000197535",4644,"myosin VA (heavy chain 12, myoxin)",1,"15:52307283-52529050","",21.2,"yes","","Spitzoid tumour","","","E","Dom","fusion","T","ROS1","yes  ","Griscelli syndrome","COSG379481","MYO5A","4644,ENSG00000197535.14,GS1,MYH12,MYO5,MYO5A,MYR12,Q9Y4I1"
"437","MYOD1","ENSG00000129152.3","ENSG00000129152",4654,"myogenic differentiation 1",1,"11:17719568-17722131","Yes",15.1,"yes","","embryonal rhabdomyosarcoma","","","M","Dom","oncogene","Mis","","","","COSG334056","MYOD1","4654,ENSG00000129152.3,MYF3,MYOD,MYOD1,P15172,PUM,bHLHc1"
"438","N4BP2","ENSG00000078177.13","ENSG00000078177",55728,"NEDD4 binding protein 2",2,"4:40056826-40158252","",14,"yes","","lung cancer","","","E","","TSG","D","","","","COSG363685","N4BP2","55728,B3BP,ENSG00000078177.13,N4BP2,Q86UW6"
"439","NAB2","ENSG00000166886.12","ENSG00000166886",4665,"NGFI-A binding protein 2",1,"12:57088894-57095476","Yes",13.3,"yes","","solitary fibrous tumour, meningeal haemangiopericytoma","","","M, O","Dom","TSG, fusion","T","STAT6","","","COSG236178","NAB2","4665,ENSG00000166886.12,MADER,NAB2,Q15742"
"440","NACA","ENSG00000196531.10","ENSG00000196531",4666,"nascent-polypeptide-associated complex alpha polypeptide",2,"12:56712433-56725299","",13.3,"yes","","NHL","","","L","Dom","fusion","T","BCL6","","","COSG282168","NACA","4666,E9PAV3,ENSG00000196531.10,NACA,NACA1"
"441","NBEA","ENSG00000172915.18","ENSG00000172915",26960,"neurobeachin",2,"13:34942287-35672735","",13.3,"yes","","large intestine carcinoma, multiple myeloma","","","E, L","","","F, T","PVT1","","","COSG261375","NBEA","26960,BCL8B,ENSG00000172915.18,FLJ10197,KIAA1544,LYST2,NBEA,Q8NFP9"
"442","NBN","ENSG00000104320.13","ENSG00000104320",4683,"nibrin",1,"8:89933336-89984716","",21.3,"","yes","","NHL, glioma, medulloblastoma, rhabdomyosarcoma","Nijmegen breakage syndrome","L, E, M, O","Rec","TSG","Mis, N, F","","","","COSG227972","NBN","4683,AT-V1,AT-V2,ATV,ENSG00000104320.13,NBN,NBS,NBS1,O60934"
"443","NCKIPSD","ENSG00000213672.7","ENSG00000213672",51517,"NCK interacting protein with SH3 domain",2,"3:48673844-48685927","",21.31,"yes","","ALL","","","L","Dom","fusion","T","KMT2A","","","COSG222318","NCKIPSD","51517,AF3P21,DIP1,ENSG00000213672.7,NCKIPSD,ORF1,Q9NZQ3,SPIN90,WASLBP,WISH"
"444","NCOA1","ENSG00000084676.15","ENSG00000084676",8648,"nuclear receptor coactivator 1",1,"2:24491932-24770702","",23.3,"yes","","alveolar rhabdomyosarcoma","","","M","Dom","fusion","T","PAX3","","","COSG265311","NCOA1","8648,ENSG00000084676.15,F-SRC-1,KAT13A,NCOA1,NCoA-1,Q15788,RIP160,SRC1,bHLHe74"
"445","NCOA2","ENSG00000140396.12","ENSG00000140396",10499,"nuclear receptor coactivator 2 (TIF2)",1,"8:70109762-70403805","Yes",13.3,"yes","","AML, chondrosarcoma, rhabdomyosarcoma","","","L, M","Dom","oncogene, fusion","T","KAT6A, HEY1, NCOA2","","","COSG277079","NCOA2","10499,ENSG00000140396.12,GRIP1,KAT13C,NCOA2,NCoA-2,Q15596,TIF2,bHLHe75"
"446","NCOA4","ENSG00000266412.5","ENSG00000266412",8031,"nuclear receptor coactivator 4 - PTC3 (ELE1)",1,"10:46006412-46030607","",11.22,"yes","","papillary thyroid","","","E","Dom","TSG, fusion","T","RET","","","COSG395118","NCOA4","8031,ARA70,DKFZp762E1112,ELE1,ENSG00000266412.5,NCOA4,PTC3,Q13772,RFG"
"447","NCOR1","ENSG00000141027.20","ENSG00000141027",9611,"nuclear receptor corepressor 1",1,"17:16029157-16215549","Yes",12,"yes","","breast","","","E","Rec","TSG","Mis, F, N, O","","yes  ","Ulnar-mammary syndrome","COSG212652","NCOR1","9611,ENSG00000141027.20,KIAA1047,MGC104216,N-CoR,NCOR1,O75376,PPP1R109,TRAC1,hCIT529I10,hN-CoR"
"448","NCOR2","ENSG00000196498.13","ENSG00000196498",9612,"nuclear receptor corepressor 2 ",1,"12:124324415-124495252","Yes",24.31,"yes","","prostate","","","E","Dom","TSG","Mis, F, N, O","","","","COSG218240","NCOR2","9612,CTG26,ENSG00000196498.13,NCOR2,SMRT,SMRTE,TNRC14,TRAC-1"
"449","NDRG1","ENSG00000104419.14","ENSG00000104419",10397,"N-myc downstream regulated 1",1,"8:133237176-133297586","Yes",24.22,"yes","","prostate","","","E","Dom","TSG, fusion","T","ERG","","","COSG395697","NDRG1","10397,CAP43,DRG1,ENSG00000104419.14,NDR1,NDRG1,Q92597,RTP,TDD5"
"450","NF1","ENSG00000196712.17","ENSG00000196712",4763,"neurofibromatosis type 1 gene",1,"17:31094927-31377677","Yes",11.2,"yes","yes","neurofibroma, glioma","neurofibroma, glioma","neurofibromatosis type 1","O","Rec","TSG, fusion","D, Mis, N, F, S, O","","","","COSG253942","NF1","4763,ENSG00000196712.17,NF1,P21359"
"451","NF2","ENSG00000186575.17","ENSG00000186575",4771,"neurofibromatosis type 2 gene",1,"22:29603558-29698598","Yes",12.2,"yes","yes","meningioma, acoustic neuroma, renal","meningioma, acoustic neuroma","neurofibromatosis type 2","O","Rec","TSG","D, Mis, N, F, S, O","","","","COSG251088","NF2","4771,ACN,BANF,ENSG00000186575.17,NF2,P35240,SCH,merlin"
"452","NFATC2","ENSG00000101096.19","ENSG00000101096",4773,"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2",1,"20:51386957-51542719","",13.2,"yes","","Ewing sarcoma","","","M","Dom","oncogene, fusion","T","EWSR1","","","COSG338852","NFATC2","4773,ENSG00000101096.19,NF-ATP,NFAT1,NFATC2,NFATp,Q13469"
"453","NFE2L2","ENSG00000116044.15","ENSG00000116044",4780,"nuclear factor (erythroid-derived 2)-like 2 (NRF2)",1,"2:177230305-177265131","Yes",31.2,"yes","","NSCLC, HNSCC","","","E","Dom","oncogene, TSG","Mis","","","","COSG369652","NFE2L2","4780,ENSG00000116044.15,NFE2L2,NRF2,Q16236"
"454","NFIB","ENSG00000147862.16","ENSG00000147862",4781,"nuclear factor I/B",1,"9:14087569-14313667","",23,"yes","","adenoid cystic carcinoma, lipoma","","","E","Dom","fusion","T","MYB, HGMA2","","","COSG234465","NFIB","4781,ENSG00000147862.16,NFI-RED,NFIB,NFIB2,NFIB3,O00712"
"455","NFKB2","ENSG00000077150.18","ENSG00000077150",4791,"nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)",1,"10:102394597-102402524","",24.32,"yes","","B-NHL","","","L","Dom","oncogene, TSG, fusion","T","IGH","","","COSG326093","NFKB2","4791,ENSG00000077150.18,LYT-10,NF-kB2,NFKB2,Q00653,p105,p49/p100,p52"
"456","NFKBIE","ENSG00000146232.16","ENSG00000146232",4794,"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon",1,"6:44258166-44265788","",21.1,"yes","","CLL, desmoplastic melanoma","","","L, E","Dom/Rec","TSG","F, Mis","","","","COSG382841","NFKBIE","4794,ENSG00000146232.16,IKBE,NFKBIE,O00221"
"457","NIN","ENSG00000100503.23","ENSG00000100503",51199,"ninein (GSK3B interacting protein)",1,"14:50725840-50831121","",22.1,"yes","","MPN","","","L","Dom","fusion","T","PDGFRB","","","COSG306094","NIN","51199,ENSG00000100503.23,NIN,Q8N4C6"
"458","NKX2-1","ENSG00000136352.17","ENSG00000136352",7080,"NK2 homeobox 1",1,"14:36516392-36520228","",13.3,"yes","","NSCLC","","","E","Dom","oncogene, TSG","A","","","","COSG239247","NKX2-1","7080,BCH,ENSG00000136352.17,NKX2-1,NKX2A,P43699,TITF1,TTF-1,TTF1"
"459","NONO","ENSG00000147140.15","ENSG00000147140",4841,"non-POU domain containing, octamer-binding",1,"X:71283583-71301168","Yes",13.1,"yes","","papillary renal","","","E","Dom","fusion","T","TFE3","","","COSG389474","NONO","4841,ENSG00000147140.15,NMT55,NONO,NRB54,P54,P54NRB,PPP1R114,Q15233"
"460","NOTCH1","ENSG00000148400.10","ENSG00000148400",4851,"Notch homolog 1, translocation-associated (Drosophila) (TAN1)",1,"9:136494433-136545786","Yes",34.3,"yes","","T-ALL, breast, bladder, skin SCC, lung SCC, head and neck SCC","","","L, E","Dom/Rec","oncogene, TSG, fusion","T, Mis, O","TRB, SEC16A, GABBR2","","","COSG341779","NOTCH1","4851,ENSG00000148400.10,NOTCH1,P46531,TAN1"
"461","NOTCH2","ENSG00000134250.19","ENSG00000134250",4853,"Notch homolog 2",1,"1:119911553-120069626","Yes",12,"yes","","marginal zone lymphoma, DLBCL, bladder","","","L, E","Dom/Rec","oncogene, TSG","N, F, Mis","","yes  ","Hajdu-Cheney syndrome, serpentine fibula-polycystic kidney syndrome","COSG312995","NOTCH2","4853,ENSG00000134250.19,NOTCH2,Q04721"
"462","NPM1","ENSG00000181163.13","ENSG00000181163",4869,"nucleophosmin (nucleolar phosphoprotein B23, numatrin)",1,"5:171387648-171411137","Yes",35.1,"yes","","NHL, APL, AML","","","L","Dom","oncogene, fusion","T, F","ALK, RARA, MLF1","","","COSG322400","NPM1","4869,B23,ENSG00000181163.13,NPM,NPM1,P06748"
"463","NR4A3","ENSG00000119508.17","ENSG00000119508",8013,"nuclear receptor subfamily 4, group A, member 3 (NOR1)",1,"9:99821855-99866891","",31.1,"yes","","extraskeletal myxoid chondrosarcoma","","","M","Dom","oncogene, fusion","T","EWSR1, TAF15, TCF12, TFG","","","COSG388402","NR4A3","8013,CHN,CSMF,ENSG00000119508.17,MINOR,NOR1,NR4A3,Q92570"
"464","NRAS","ENSG00000213281.4","ENSG00000213281",4893,"neuroblastoma RAS viral (v-ras) oncogene homolog",1,"1:114704469-114716894","Yes",13.2,"yes","","melanoma, MM, AML, thyroid","","","L, E","Dom","oncogene","Mis","","","","COSG280869","NRAS","4893,ENSG00000213281.4,N-ras,NRAS,P01111"
"465","NRG1","ENSG00000157168.18","ENSG00000157168",3084,"neuregulin 1",1,"8:32548635-32764407","",12,"yes","","NSCLC","","","E","Dom","TSG, fusion","T","CD74","","","COSG359948","NRG1","3084,ENSG00000157168.18,GGF,HGL,HRG,NDF,NRG1,NRG1-IT2,Q02297"
"466","NSD1","ENSG00000165671.20","ENSG00000165671",64324,"nuclear receptor binding SET domain protein 1",1,"5:177133925-177300215","",35.3,"yes","","AML","","","L","Dom","fusion","T","NUP98","yes  ","Sotos Syndrome","COSG345705","NSD1","64324,ARA267,ENSG00000165671.20,FLJ22263,KMT3B,NSD1,Q96L73,STO"
"467","NSD2","ENSG00000109685.17","ENSG00000109685",7468,"Wolf-Hirschhorn syndrome candidate 1(MMSET)",1,"4:1892845-1982207","",16.3,"yes","","MM","","","L","Dom","oncogene, fusion","T","IGH","","","COSG271139","NSD2","7468,ENSG00000109685.17,KMT3G,MMSET,NSD2,O96028,WHSC1"
"468","NSD3","ENSG00000147548.16","ENSG00000147548",54904,"Wolf-Hirschhorn syndrome candidate 1-like 1 (NSD3)",1,"8:38269697-38382272","",11.23,"yes","","AML","","","L","Dom","oncogene, fusion","T, A","NUP98","","","COSG236584","NSD3","54904,ENSG00000147548.16,FLJ20353,KMT3F,NSD3,Q9BZ95,WHISTLE,WHSC1L1"
